,Id,Nome,AnoDeNascimento,Sexo
0,0,Katrine Aalerud,1994,F
1,1,Nestor Abad,1993,M
2,2,Giovanni Abagnale,1995,M
3,3,Alberto Abalde,-,-
4,4,Tamara Abalde,1989,F
5,5,Luc Abalo,1984,M
6,6,Cesar Abaroa,1996,M
7,7,Abobakr Abass,1998,M
8,8,Hamideh Abbasali,1990,F
9,9,Islam Abbasov,1996,M
10,10,Lois Abbingh,1992,F
11,11,Emily Abbot,1997,-
12,12,Monica Abbott,1985,-
13,13,Abubaker Haydar Abdalla,1996,M
14,14,Maryam Abdalla,-,-
15,15,Shahd Abdallah,-,-
16,16,Mohamed Abdalrasool,1993,M
17,17,Radwa Abdel Latif,1989,F
18,18,Samy Abdel Razek,1980,M
19,19,Abdalla Abdelaziz,1999,M
20,20,Farah Abdelaziz,-,-
21,21,Feryal Abdelaziz,1999,F
22,22,Mohamed Abdelmawgoud,-,-
23,23,Diaaeldin Kamal Gouda Abdelmottaleb,1993,M
24,24,Ihab Abdelrahman,1989,M
25,25,Mohamed Abdelsalam,1997,M
26,26,Nour Abdelsalam,1993,F
27,27,Ahmed Abdelwahed,1996,M
28,28,Bashir Abdi,1989,M
29,29,Abdi Abdirahman,1977,M
30,30,Farah Ann Abdul Hadi,1994,F
31,31,Kiria Tikanah Abdul Rahman,2000,F
32,32,Fathimath Nabaaha Abdul Razzaq,1999,F
33,33,Saud Abdulhamid,1999,M
34,34,Ammar Riad Abduljabbar,1995,M
35,35,Gulomjon Abdullaev,1998,M
36,36,Muminjon Abdullaev,1989,M
37,37,Rahmat Erwin Abdullah,2000,M
38,38,Ilfat Abdullin,1998,M
39,39,Mohamed Abdulredha,1989,M
40,40,Elnur Abduraimov,1994,M
41,41,Rasuljon Abdurakhimov,1996,M
42,42,Bekzod Abdurakhmonov,1990,M
43,43,Hifumi Abe,1997,M
44,44,Takatoshi Abe,1991,M
45,45,Uta Abe,2000,-
46,46,Mekides Abebe,2001,F
47,47,Mojtaba Abedini,1984,M
48,48,Jennifer Abel,1991,F
49,49,Matthew Abela,1999,M
50,50,Magnus Abelvik Roed,1997,M
51,51,Matthew Abeysinghe,1996,M
52,52,Pablo Abian,1985,M
53,53,Mohammed Abicha,1980,M
54,54,Lorena Abicht,1994,F
55,55,Abidine Abidine,1993,M
56,56,Denis Abliazin,-,-
57,57,Hadel Aboud,1999,F
58,58,Alaaeldin Abouelkassem,1990,M
59,59,Nancy Genzel Abouke,2003,F
60,60,Tadesse Abraham,1982,M
61,61,Rusten John Abrahams,1997,M
62,62,Aliyah Abrams,1997,F
63,63,Jasmine Abrams,1994,F
64,64,Benik Abramyan,-,-
65,65,Diogo Abreu,1993,M
66,66,Alejandro Abrines Redondo,-,-
67,67,Kirill Abrosimov,1991,M
68,68,Asma Abu Rabee,1991,F
69,69,Wesam Abu Rmilah,1995,M
70,70,Joshua Abuaku,1996,M
71,71,Tala Abujbara,1992,F
72,72,Domenico Acerenza,1995,M
73,73,Vladimir Aceti,1998,M
74,74,Jaouad Achab,1992,M
75,75,Kamal Achanta,-,-
76,76,Georgios Achilleos,1980,M
77,77,Precious Achiuwa,1999,M
78,78,Natalie Achonwa,1992,F
79,79,Haikel Achouri,1984,M
80,80,Simone Ackermann,1990,F
81,81,Briseida Acosta,1993,F
82,82,Yasmani Acosta Fernandez,1988,M
83,83,Valentina Acosta Giraldo,2000,F
84,84,Marcelo Acosta,-,-
85,85,Yenny Acuna,1997,F
86,86,Kazuya Adachi,1990,M
87,87,Seiya Adachi,1995,M
88,88,Amal Adam,1981,F
89,89,Constantin Adam,1996,M
90,90,Klaudia Adamek,1999,F
91,91,Patrycja Adamkiewicz,1998,F
92,92,Liam Adams,1986,M
93,93,Paul Adams,1992,M
94,94,Taeyanna Adams,2002,F
95,95,Bartlomiej Stejan Adamus,-,-
96,96,Mateus Daniel Adao De Sa,-,-
97,97,Yasemin Adar,1991,F
98,98,Edrice Femi Adebayo,-,-
99,99,Enoch Adegoke,2000,M
100,100,Odunayo Folasade Adekuoroye,1993,F
101,101,Ibrahim Adel,2001,M
102,102,Aminat Oluwafunmilayo Adeniyi,1993,F
103,103,Dorcas Ajoke Adesokan,1998,F
104,104,Alina Adilkhanova,2001,-
105,105,Jonna Adlerteg,1995,F
106,106,Sarah Adlington,1986,F
107,107,Pauline Ado,1991,F
108,108,Balazs Adolf,1999,M
109,109,Aurimas Adomavicius,1993,M
110,110,Yanara Aedo,1993,F
111,111,Violaine Aernoudts,1999,F
112,112,Brian Afanador,1997,M
113,113,Paixao Afonso,1991,M
114,114,Gilles Anthony Afoumba,1996,M
115,115,Natalia Afremova,1998,F
116,116,Charlotte Afriat,-,-
117,117,Caleb Agada,1994,M
118,118,Alphonsine Agahozo,1996,F
119,119,Terrence Agard,1990,M
120,120,Yuto Agarie,1993,M
121,121,Haruka Agatsuma,1994,-
122,122,Clarisse Agbegnenou,1992,F
123,123,Eden Agero,1990,M
124,124,Mikael Aggefors,1985,M
125,125,Soraya Aghaeihajiagha,1996,F
126,126,Zohra Aghamirova,2001,-
127,127,Ali Aghamirzaeijenaghrad,1993,M
128,128,Levon Aghasyan,1995,M
129,129,Rafael Aghayev,1985,M
130,130,Ekerekeme Agiomor,1994,M
131,131,Alexandra Agiurgiuculese,2001,-
132,132,Yavuz Agrali,1992,M
133,133,Andrea Agrusti,1995,M
134,134,Mayra Aguiar,-,-
135,135,Ali Aguilar,1995,-
136,136,Andres Aguilar,1996,M
137,137,Evelis Jazmin Aguilar,-,-
138,138,Julen Aguinagalde Aquizu,1982,M
139,139,Eduardo Aguirre,1998,M
140,140,Erick Aguirre,1997,M
141,141,Unai Aguirre,2002,M
142,142,Gabriela Agundez Garcia,-,-
143,143,Marion Faustino Ah Tong,2000,M
144,144,Muhammad Isa Ahmad,1998,M
145,145,Aiman Ahmed,2001,M
146,146,Abdulla Essa Ahmed Ali Yusuf,2002,M
147,147,Enas Ahmed,1989,F
148,148,Junayna Ahmed,2003,F
149,149,Mohamed Ahmed,1985,-
150,150,Mohammed Ahmed,1991,M
151,151,Samaa Ahmed,1998,F
152,152,Odile Ahouanwanou,1991,F
153,153,Murielle Ahoure,1987,F
154,154,Nicole Ahsinger,1998,F
155,155,Michelle-Lee Ahye,1992,F
156,156,Yanhan Ai,2002,F
157,157,Matteo Aicardi,1986,M
158,158,Vlad Aicoboae,-,-
159,159,Hannes Aigner,1989,M
160,160,Adriana Ailincai,1999,F
161,161,Steven Aimable,1999,M
162,162,Mirambek Ainagulov,1994,M
163,163,Marian Aioani,1999,M
164,164,Windy Cantika Aisah,2002,F
165,165,Kamel Ait Daoud,1985,M
166,166,Zied Ait Ouagram,1988,M
167,167,Samir Ait Said,1989,M
168,168,Holly Aitchison,1997,F
169,169,Akira Aizawa,1997,M
170,170,Yinka Ajayi,-,-
171,171,Himawari Akaho,1998,F
172,172,Taha Akgul,1990,M
173,173,Omer Akgun,1982,M
174,174,Liliia Akhaimova,1997,F
175,175,Ildar Akhmadiev,2000,M
176,176,Tatyana Akhmetova,-,-
177,177,Muhammad Khalil Akhtar,1984,M
178,178,Mikhail Akimenko,1995,M
179,179,Foluke Akinradewo,1987,F
180,180,Elizabeth Akinyi,1993,F
181,181,Mihrac Akkus,2000,M
182,182,Nurul Akmal,1993,F
183,183,Ernazar Akmataliev,1998,M
184,184,Roberts Akmens,1996,M
185,185,Simge Sebnem Akoz,1991,F
186,186,Ugur Aktas,1995,M
187,187,Issa Samir Hamed Al Adawi,1999,M
188,188,Ali Al Ahrach,1984,-
