,IdAtleta,IdComite
0,0,NOR
1,1,ESP
2,2,ITA
3,3,ESP
4,4,ESP
5,5,FRA
6,6,CHI
7,7,SUD
8,8,IRI
9,9,AZE
10,10,NED
11,11,AUS
12,12,USA
13,13,QAT
14,14,EGY
15,15,EGY
16,16,SUD
17,17,EGY
18,18,EGY
19,19,EGY
20,20,EGY
21,21,EGY
22,22,EGY
23,23,EGY
24,24,EGY
25,25,EGY
26,26,EGY
27,27,ITA
28,28,BEL
29,29,USA
30,30,MAS
31,31,SGP
32,32,MDV
33,33,KSA
34,34,GER
35,35,UZB
36,36,UZB
37,37,INA
38,38,KAZ
39,39,BRN
40,40,UZB
41,41,UZB
42,42,UZB
43,43,JPN
44,44,JPN
45,45,JPN
46,46,ETH
47,47,IRI
48,48,CAN
49,49,MLT
50,50,NOR
51,51,SRI
52,52,ESP
53,53,MAR
54,54,AUT
55,55,MTN
56,56,ROC
57,57,LBA
58,58,EGY
59,59,NRU
60,60,SUI
61,61,RSA
62,62,GUY
63,63,GUY
64,64,GEO
65,65,POR
66,66,ESP
67,67,ROC
68,68,JOR
69,69,PLE
70,70,GER
71,71,QAT
72,72,ITA
73,73,ITA
74,74,BEL
75,75,IND
76,76,CYP
77,77,NGR
78,78,CAN
79,79,TUN
80,80,RSA
81,81,MEX
82,82,CHI
83,83,COL
84,84,ESA
85,85,CHI
86,86,JPN
87,87,JPN
88,88,EGY
89,89,ROU
90,90,POL
91,91,POL
92,92,AUS
93,93,AUS
94,94,FSM
95,95,POL
96,96,BRA
97,97,TUR
98,98,USA
99,99,NGR
100,100,NGR
101,101,EGY
102,102,NGR
103,103,NGR
104,104,KAZ
105,105,SWE
106,106,GBR
107,107,FRA
108,108,HUN
109,109,LTU
110,110,CHI
111,111,FRA
112,112,PUR
113,113,ANG
114,114,COD
115,115,ROC
116,116,MON
117,117,NGR
118,118,RWA
119,119,NED
120,120,JPN
121,121,JPN
122,122,FRA
123,123,KEN
124,124,SWE
125,125,IRI
126,126,AZE
127,127,IRI
128,128,ARM
129,129,AZE
130,130,NGR
131,131,ITA
132,132,TUR
133,133,ITA
134,134,BRA
135,135,USA
136,136,CHI
137,137,COL
138,138,ESP
139,139,MEX
140,140,MEX
141,141,ESP
142,142,MEX
143,143,SAM
144,144,BRU
145,145,KSA
146,146,BRN
147,147,EGY
148,148,BAN
149,149,BRN
150,150,CAN
151,151,EGY
152,152,BEN
153,153,CIV
154,154,USA
155,155,TTO
156,156,CHN
157,157,ITA
158,158,ROU
159,159,GER
160,160,ROU
161,161,SEN
162,162,KAZ
163,163,ROU
164,164,INA
165,165,ALG
166,166,MAR
167,167,FRA
168,168,GBR
169,169,JPN
170,170,NGR
171,171,JPN
172,172,TUR
173,173,TUR
174,174,ROC
175,175,TJK
176,176,KAZ
177,177,PAK
178,178,ROC
179,179,USA
180,180,KEN
181,181,TUR
182,182,INA
183,183,KGZ
184,184,LAT
185,185,TUR
186,186,TUR
187,187,OMA
188,188,MAR
189,189,OMA
190,190,KUW
191,191,OMA
192,192,IRQ
193,193,OMA
194,194,QAT
195,195,EOR
196,196,KUW
197,197,QAT
198,198,YEM
199,199,KSA
200,200,IRQ
201,201,OMA
202,202,QAT
203,203,YEM
204,204,JOR
205,205,JOR
206,206,YEM
207,207,GEO
208,208,IRI
209,209,CAN
210,210,ESP
211,211,CUB
212,212,ARG
213,213,KSA
214,214,TUR
215,215,NED
216,216,ARG
217,217,FRA
218,218,BRA
219,219,KSA
220,220,KSA
221,221,KSA
222,222,EOR
223,223,KSA
224,224,KSA
225,225,AUS
226,226,ESP
227,227,ROC
228,228,ARM
229,229,SRB
230,230,SRB
231,231,UKR
232,232,UKR
233,233,ITA
234,234,ETH
235,235,ITA
236,236,CAN
237,237,AUT
238,238,AUT
239,239,SWE
240,240,ROU
241,241,KUW
242,242,KSA
243,243,AZE
244,244,KSA
245,245,SWE
246,246,KSA
247,247,KSA
248,248,NIG
249,249,JOR
250,250,KSA
251,251,BRN
252,252,BRN
253,253,BRN
254,254,BRN
255,255,DJI
256,256,SOM
257,257,BUL
258,258,EOR
259,259,FRA
260,260,EOR
261,261,AZE
262,262,BRA
263,263,ROC
264,264,KSA
265,265,AZE
266,266,BER
267,267,EOR
268,268,RSA
269,269,JOR
270,270,KSA
271,271,KSA
272,272,BEL
273,273,AUS
274,274,IRL
275,275,USA
276,276,JAM
277,277,USA
278,278,GUY
279,279,EST
280,280,USA
281,281,ARG
282,282,CUB
283,283,BRN
284,284,GER
285,285,UAE
286,286,ISR
287,287,POR
288,288,ANG
289,289,KUW
290,290,KSA
291,291,KSA
292,292,KSA
293,293,ARG
294,294,PAR
295,295,ESP
296,296,PAR
297,297,TUN
298,298,KSA
299,299,KUW
300,300,KUW
301,301,KSA
302,302,KSA
303,303,BRN
304,304,KSA
305,305,KUW
306,306,KAZ
307,307,GER
308,308,AUT
309,309,BRA
310,310,ARG
311,311,KSA
312,312,UKR
313,313,CRC
314,314,MEX
315,315,USA
316,316,ESP
317,317,DOM
318,318,USA
319,319,CUB
320,320,HON
321,321,CUB
322,322,MEX
323,323,COL
324,324,ARG
325,325,BRA
326,326,CPV
327,327,JOR
328,328,EGY
329,329,KUW
330,330,GRE
331,331,ITA
332,332,CRC
333,333,ROU
334,334,KAZ
335,335,ISR
336,336,VEN
337,337,SWE
338,338,KEN
339,339,UGA
340,340,PER
341,341,FRA
342,342,GBR
343,343,ETH
344,344,BLR
345,345,CAN
346,346,SMR
347,347,GER
348,348,IND
349,349,GHA
350,350,GHA
351,351,AUS
352,352,KEN
353,353,ECU
354,354,BRA
355,355,FRA
356,356,BOT
357,357,TUN
358,358,NGR
359,359,NGR
360,360,KOR
361,361,KOR
362,362,KOR
363,363,KOR
364,364,KOR
365,365,KOR
366,366,KOR
367,367,KOR
368,368,ROU
369,369,NZL
370,370,GRE
371,371,TUR
372,372,GHA
373,373,GRE
374,374,FRA
375,375,MEX
376,376,USA
377,377,CAN
378,378,JAM
379,379,BAH
380,380,USA
381,381,AUS
382,382,USA
383,383,USA
384,384,SRB
385,385,SWE
386,386,DEN
387,387,PER
388,388,USA
389,389,CAN
390,390,PHI
391,391,JPN
392,392,JPN
393,393,CPV
394,394,BRA
395,395,POR
396,396,FRA
397,397,BRA
398,398,BUL
399,399,KGZ
400,400,POL
401,401,ITA
402,402,BRA
403,403,BRA
404,404,GUM
405,405,USA
406,406,AUS
407,407,NZL
408,408,NZL
409,409,MAD
410,410,MAD
411,411,FRA
412,412,LTU
413,413,ROC
414,414,ESP
415,415,HAI
416,416,NED
417,417,SWE
418,418,ROU
419,419,MEX
420,420,MEX
421,421,ECU
422,422,HUN
423,423,AUS
424,424,FRA
425,425,SUI
426,426,ROC
427,427,GER
428,428,GHA
429,429,GER
430,430,GBR
431,431,IND
432,432,GBR
433,433,AUS
434,434,MON
435,435,CUB
