,IdComite,IdAtleta
0,CHN,7
1,CHN,8
2,DEN,38234
3,DEN,25267
4,NED,19895
5,FIN,26309
6,FIN,57382
7,FIN,76636
8,FIN,10645
9,FIN,83890
10,FIN,104671
11,FIN,111459
12,NOR,89192
13,ROU,6764
14,NOR,33342
15,NOR,4155
16,NED,51711
17,NOR,48299
18,NED,110597
19,NED,86194
20,EST,29661
21,NOR,82214
22,FIN,76054
23,FRA,47384
24,NED,100449
25,NOR,7943
26,NOR,58406
27,NOR,63226
28,NOR,93639
29,NOR,104363
30,NOR,78051
31,NOR,39004
32,NOR,39402
33,NOR,28661
34,MAR,304
35,EST,77988
36,EST,10613
37,ESP,81831
38,FRA,84766
39,EGY,102610
40,IRI,77447
41,ESP,9185
42,FRA,90548
43,BUL,13921
44,BUL,35281
45,BUL,46288
46,BUL,76100
47,BUL,100357
48,ITA,36608
49,ESP,54444
50,CHA,68198
51,AZE,84588
52,SUD,77157
53,RUS,71904
54,ARG,83949
55,ESP,102648
56,CUB,50572
57,CUB,56104
58,BLR,3390
59,FRA,66934
60,ARG,69557
61,GRE,36576
62,CMR,55740
63,CMR,8916
64,TUR,95630
65,CHI,15649
66,ESP,54592
67,GRE,35384
68,MEX,27896
69,CHI,15728
70,USA,100772
71,ESP,2870
72,ESP,54550
73,URS,94347
74,URS,81868
75,CHI,93214
76,RUS,102714
77,ITA,27325
78,ITA,44265
79,FRA,53424
80,CHI,89370
81,GRE,35338
82,NCA,15966
83,NCA,15654
84,MEX,40572
85,HUN,88573
86,HUN,83534
87,NGR,970
88,EGY,96782
89,ITA,98818
90,CHA,33933
91,ALG,44700
92,ITA,1462
93,ITA,16127
94,ITA,36801
95,KUW,457
96,BRN,710
97,PAK,9593
98,IRQ,11562
99,IRQ,12098
100,KUW,29205
101,PAK,36107
102,UAR,43173
103,LIB,68580
104,EGY,68595
105,EGY,77370
106,IRQ,77697
107,QAT,78847
108,PAK,99585
109,EGY,113386
110,MAS,115192
111,PAK,97888
112,IRI,99944
113,AZE,94869
114,AZE,105974
115,AZE,105628
116,ITA,99113
117,GER,32688
118,ITA,18222
119,NED,66168
120,ITA,3568
121,IRQ,95768
122,GRE,34692
123,CAN,110633
124,IRL,19061
125,USA,21742
126,AUS,23032
127,RSA,34556
128,CAN,50341
129,CAN,51485
130,CAN,59058
131,USA,69554
132,USA,70428
133,USA,72961
134,CAN,73416
135,USA,77859
136,MAR,60136
137,EGY,77433
138,EGY,68596
139,EGY,77434
140,EGY,81503
141,EGY,90285
142,ERI,4597
143,EGY,43175
144,EGY,43169
145,UAR,45891
146,EGY,68479
147,USA,80153
148,TAN,83067
149,FRA,83777
150,KUW,113347
151,JOR,89218
152,EGY,68557
153,EGY,68597
154,EGY,77161
155,SUD,77162
156,UAR,4705
157,EGY,299
158,UAR,68609
159,EGY,77163
160,SUD,96770
161,SUD,44113
162,EGY,40719
163,EGY,96397
164,EGY,33922
165,UAR,282
166,EGY,89202
167,EGY,83454
168,UAR,77164
169,EGY,78204
170,EGY,77165
171,SUD,43787
172,EGY,44039
173,EGY,102702
174,EGY,1618
175,EGY,24634
176,UAR,78231
177,EGY,77236
178,TUN,77167
179,EGY,249
180,EGY,109368
181,EGY,5547
182,EGY,77170
183,EGY,58118
184,EGY,11365
185,EGY,1554
186,LBA,78199
187,EGY,4599
188,UAR,5513
189,EGY,77374
190,EGY,30222
191,UAR,44040
192,EGY,60155
193,UAR,95853
194,EGY,112382
195,EGY,96082
196,EGY,77626
197,EGY,44044
198,EGY,57731
199,EGY,90932
200,EGY,1580
201,EGY,4600
202,UAR,77172
203,EGY,95854
204,EGY,77576
205,EGY,68598
206,EGY,77173
207,EGY,97881
208,SUD,96092
209,EGY,1555
210,EGY,68599
