,Nome,EsportePai,Id
0,Women,3x3 Basketball,0
1,Men,3x3 Basketball,1
2,Women's Team,Archery,2
3,Mixed Team,Archery,3
4,Women's Individual,Archery,4
5,Men's Team,Archery,5
6,Men's Individual,Archery,6
7,Women's Balance Beam,Artistic Gymnastics,7
8,Women's Floor Exercise,Artistic Gymnastics,8
9,Women's Uneven Bars,Artistic Gymnastics,9
10,Women's Vault,Artistic Gymnastics,10
11,Women's All-Around,Artistic Gymnastics,11
12,Women's Team,Artistic Gymnastics,12
13,Men's Parallel Bars,Artistic Gymnastics,13
14,Men's Vault,Artistic Gymnastics,14
15,Men's Team,Artistic Gymnastics,15
16,Men's Rings,Artistic Gymnastics,16
17,Men's Pommel Horse,Artistic Gymnastics,17
18,Men's All-Around,Artistic Gymnastics,18
19,Men's Floor Exercise,Artistic Gymnastics,19
20,Men's Horizontal Bar,Artistic Gymnastics,20
21,Team,Artistic Swimming,21
22,Duet,Artistic Swimming,22
23,Women's 3000m Steeplechase,Athletics,23
24,Women's Hammer Throw,Athletics,24
25,Men's 200m,Athletics,25
26,Women's 100m Hurdles,Athletics,26
27,Women's Marathon,Athletics,27
28,Men's 5000m,Athletics,28
29,Women's 100m,Athletics,29
30,Women's Triple Jump,Athletics,30
31,Women's 4 x 400m Relay,Athletics,31
32,Men's Triple Jump,Athletics,32
33,Men's 50km Race Walk,Athletics,33
34,Women's 4 x 100m Relay,Athletics,34
35,"Men's 10,000m",Athletics,35
36,Women's Heptathlon,Athletics,36
37,Men's High Jump,Athletics,37
38,Men's 4 x 100m Relay,Athletics,38
39,Women's 800m,Athletics,39
40,Men's 400m Hurdles,Athletics,40
41,4 x 400m Relay Mixed,Athletics,41
42,Women's 1500m,Athletics,42
43,Men's 110m Hurdles,Athletics,43
44,Women's 400m,Athletics,44
45,Women's Discus Throw,Athletics,45
46,Men's 4 x 400m Relay,Athletics,46
47,Women's 20km Race Walk,Athletics,47
48,Women's Javelin Throw,Athletics,48
49,Men's 1500m,Athletics,49
50,Women's High Jump,Athletics,50
51,Men's Pole Vault,Athletics,51
52,Men's Long Jump,Athletics,52
53,Women's Pole Vault,Athletics,53
54,Men's Shot Put,Athletics,54
55,Men's 800m,Athletics,55
56,Women's 400m Hurdles,Athletics,56
57,Women's 5000m,Athletics,57
58,"Women's 10,000m",Athletics,58
59,Men's Decathlon,Athletics,59
60,Men's Hammer Throw,Athletics,60
61,Men's Javelin Throw,Athletics,61
62,Men's Discus Throw,Athletics,62
63,Men's 400m,Athletics,63
64,Men's 3000m Steeplechase,Athletics,64
65,Men's Marathon,Athletics,65
66,Men's 100m,Athletics,66
67,Women's 200m,Athletics,67
68,Women's Shot Put,Athletics,68
69,Women's Long Jump,Athletics,69
70,Men's 20km Race Walk,Athletics,70
71,Mixed Doubles,Badminton,71
72,Women's Singles,Badminton,72
73,Women's Doubles,Badminton,73
74,Men's Singles,Badminton,74
75,Men's Doubles,Badminton,75
76,Baseball,Baseball/Softball,76
77,Softball,Baseball/Softball,77
78,Women,Basketball,78
79,Men,Basketball,79
80,Women,Beach Volleyball,80
81,Men,Beach Volleyball,81
82,Men's Fly (48-52kg),Boxing,82
83,Women's Light (57-60kg),Boxing,83
84,Men's Middle (69-75kg),Boxing,84
85,Women's Feather (54-57kg),Boxing,85
86,Men's Super Heavy (+91kg),Boxing,86
87,Men's Welter (63-69kg),Boxing,87
88,Women's Fly (48-51kg),Boxing,88
89,Women's Middle (69-75kg),Boxing,89
90,Women's Welter (64-69kg),Boxing,90
91,Men's Light Heavy (75-81kg),Boxing,91
92,Men's Feather (52-57kg),Boxing,92
93,Men's Light (57-63kg),Boxing,93
94,Men's Heavy (81-91kg),Boxing,94
95,Men's Kayak,Canoe Slalom,95
96,Women's Kayak,Canoe Slalom,96
97,Women's Canoe,Canoe Slalom,97
98,Men's Canoe,Canoe Slalom,98
99,Women's Kayak Single 500m,Canoe Sprint,99
100,Women's Kayak Single 200m,Canoe Sprint,100
101,Men's Kayak Double 1000m,Canoe Sprint,101
102,Women's Kayak Double 500m,Canoe Sprint,102
103,Men's Kayak Single 1000m,Canoe Sprint,103
104,Men's Kayak Single 200m,Canoe Sprint,104
105,Men's Kayak Four 500m,Canoe Sprint,105
106,Women's Kayak Four 500m,Canoe Sprint,106
107,Men's Canoe Single 1000m,Canoe Sprint,107
108,Men's Canoe Double 1000m,Canoe Sprint,108
109,Women's Canoe Single 200m,Canoe Sprint,109
110,Women's Canoe Double 500m,Canoe Sprint,110
111,Women's Park,Cycling BMX Freestyle,111
112,Men's Park,Cycling BMX Freestyle,112
113,Women,Cycling BMX Racing,113
114,Men,Cycling BMX Racing,114
