,Id,Nome,EsportePai
0,0,Aeronautics,-
1,1,Aeronautics Mixed Aeronautics,Aeronautics
2,2,Alpinism,-
3,3,Alpinism Mixed Alpinism,Alpinism
4,4,Archery,-
5,5,"Archery Men's Au Chapelet, 33 metres",Archery
6,6,"Archery Men's Au Chapelet, 50 metres",Archery
7,7,"Archery Men's Au Cordon Dore, 33 metres",Archery
8,8,"Archery Men's Au Cordon Dore, 50 metres",Archery
9,9,Archery Men's Championnat Du Monde,Archery
10,10,Archery Men's Continental Style,Archery
11,11,Archery Men's Double American Round,Archery
12,12,Archery Men's Double York Round,Archery
13,13,Archery Men's Individual,Archery
14,14,"Archery Men's Pole Archery, Large Birds, Individual",Archery
15,15,"Archery Men's Pole Archery, Large Birds, Team",Archery
16,16,"Archery Men's Pole Archery, Small Birds, Individual",Archery
17,17,"Archery Men's Pole Archery, Small Birds, Team",Archery
18,18,Archery Men's Sur La Perche a La Herse,Archery
19,19,Archery Men's Sur La Perche a La Pyramide,Archery
20,20,"Archery Men's Target Archery, 28 metres, Individual",Archery
21,21,"Archery Men's Target Archery, 28 metres, Team",Archery
22,22,"Archery Men's Target Archery, 33 metres, Individual",Archery
23,23,"Archery Men's Target Archery, 33 metres, Team",Archery
24,24,"Archery Men's Target Archery, 50 metres, Individual",Archery
25,25,"Archery Men's Target Archery, 50 metres, Team",Archery
26,26,Archery Men's Team,Archery
27,27,Archery Men's Team Round,Archery
28,28,Archery Men's Unknown Event,Archery
29,29,Archery Women's Double Columbia Round,Archery
30,30,Archery Women's Double National Round,Archery
31,31,Archery Women's Individual,Archery
32,32,Archery Women's Team,Archery
33,33,Archery Women's Team Round,Archery
34,34,Art Competitions,-
35,35,Art Competitions Mixed Architecture,Art Competitions
36,36,"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
37,37,"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions
38,38,"Art Competitions Mixed Architecture, Unknown Event",Art Competitions
39,39,Art Competitions Mixed Literature,Art Competitions
40,40,"Art Competitions Mixed Literature, Dramatic Works",Art Competitions
41,41,"Art Competitions Mixed Literature, Epic Works",Art Competitions
42,42,"Art Competitions Mixed Literature, Lyric Works",Art Competitions
43,43,"Art Competitions Mixed Literature, Unknown Event",Art Competitions
44,44,Art Competitions Mixed Music,Art Competitions
45,45,"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions
46,46,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions
47,47,"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions
48,48,"Art Competitions Mixed Music, Unknown Event",Art Competitions
49,49,"Art Competitions Mixed Music, Vocals",Art Competitions
50,50,Art Competitions Mixed Painting,Art Competitions
51,51,"Art Competitions Mixed Painting, Applied Arts",Art Competitions
52,52,"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions
53,53,"Art Competitions Mixed Painting, Graphic Arts",Art Competitions
54,54,"Art Competitions Mixed Painting, Paintings",Art Competitions
55,55,"Art Competitions Mixed Painting, Unknown Event",Art Competitions
