,IdModalidade,AnoEdicao,Ouro,Prata,Bronze
0,0,2020,USA,ROC,CHN
1,1,2020,LAT,ROC,SRB
2,2,2020,KOR,ROC,GER
3,3,2020,KOR,NED,MEX
4,4,2020,KOR,ROC,ITA
5,5,2020,KOR,TPE,JPN
6,6,2020,TUR,-,JPN
7,7,2020,CHN,-,USA
8,8,2020,USA,ITA,ROC
9,9,2020,BEL,ROC,USA
10,10,2020,BRA,USA,KOR
11,11,2020,USA,BRA,ROC
12,12,2020,ROC,USA,GBR
13,13,2020,CHN,GER,TUR
14,14,2020,KOR,-,ARM
15,15,2020,ROC,JPN,CHN
16,16,2020,CHN,CHN,GRE
17,17,2020,GBR,TPE,JPN
18,18,2020,JPN,CHN,ROC
19,19,2020,ISR,-,CHN
20,20,2020,JPN,CRO,ROC
21,21,2020,ROC,CHN,UKR
22,22,2020,ROC,CHN,UKR
23,23,2020,UGA,USA,KEN
24,24,2020,POL,-,POL
25,25,2020,CAN,USA,USA
26,26,2020,PUR,-,JAM
27,27,2020,KEN,KEN,USA
28,28,2020,-,CAN,-
29,29,2020,-,JAM,JAM
30,30,2020,VEN,POR,ESP
31,31,2020,USA,POL,JAM
32,32,2020,-,CHN,-
33,33,2020,POL,GER,CAN
34,34,2020,JAM,USA,GBR
35,35,2020,ETH,-,UGA
36,36,2020,BEL,NED,NED
37,37,2020,QAT,-,BLR
38,38,2020,ITA,GBR,CAN
39,39,2020,-,GBR,USA
40,40,2020,NOR,USA,BRA
41,41,2020,POL,DOM,USA
42,42,2020,-,GBR,NED
43,43,2020,JAM,USA,JAM
44,44,2020,-,DOM,USA
45,45,2020,USA,GER,CUB
46,46,2020,USA,NED,BOT
47,47,2020,ITA,-,-
48,48,2020,CHN,POL,-
49,49,2020,NOR,-,GBR
50,50,2020,ROC,-,-
51,51,2020,SWE,USA,BRA
52,52,2020,GRE,CUB,CUB
53,53,2020,USA,ROC,GBR
54,54,2020,USA,USA,NZL
55,55,2020,-,KEN,POL
56,56,2020,-,USA,NED
57,57,2020,NED,-,ETH
58,58,2020,NED,BRN,ETH
59,59,2020,CAN,FRA,AUS
60,60,2020,POL,NOR,POL
61,61,2020,IND,CZE,CZE
62,62,2020,SWE,SWE,AUT
63,63,2020,BAH,-,GRN
64,64,2020,-,ETH,KEN
65,65,2020,KEN,NED,BEL
66,66,2020,ITA,USA,CAN
67,67,2020,-,NAM,USA
68,68,2020,CHN,USA,-
69,69,2020,GER,USA,NGR
70,70,2020,ITA,JPN,-
71,71,2020,CHN,CHN,JPN
72,72,2020,CHN,TPE,-
73,73,2020,INA,CHN,KOR
74,74,2020,DEN,CHN,INA
75,75,2020,TPE,CHN,MAS
76,76,2020,JPN,USA,DOM
77,77,2020,JPN,USA,CAN
78,78,2020,USA,JPN,FRA
79,79,2020,USA,FRA,AUS
80,80,2020,USA,AUS,SUI
81,81,2020,NOR,ROC,QAT
82,82,2020,GBR,PHI,KAZ
83,83,2020,IRL,BRA,THA
84,84,2020,BRA,UKR,ROC
85,85,2020,JPN,PHI,GBR
86,86,2020,UZB,USA,GBR
87,87,2020,CUB,-,IRL
88,88,2020,BUL,TUR,TPE
89,89,2020,GBR,-,NED
90,90,2020,TUR,CHN,IND
91,91,2020,CUB,GBR,AZE
92,92,2020,ROC,-,GHA
93,93,2020,CUB,USA,-
94,94,2020,-,ROC,NZL
95,95,2020,CZE,SVK,GER
96,96,2020,GER,ESP,AUS
97,97,2020,AUS,GBR,GER
98,98,2020,SLO,CZE,GER
99,99,2020,NZL,HUN,-
100,100,2020,NZL,POR,-
101,101,2020,AUS,GER,CZE
102,102,2020,NZL,POL,HUN
103,103,2020,HUN,-,POR
104,104,2020,HUN,ITA,GBR
105,105,2020,GER,ESP,SVK
106,106,2020,HUN,BLR,POL
107,107,2020,BRA,-,MDA
108,108,2020,-,CHN,GER
109,109,2020,USA,CAN,UKR
110,110,2020,CHN,UKR,CAN
111,111,2020,GBR,USA,SUI
112,112,2020,AUS,VEN,GBR
113,113,2020,GBR,-,NED
114,114,2020,NED,GBR,COL
115,115,2020,SUI,SUI,SUI
116,116,2020,GBR,SUI,ESP
117,117,2020,ECU,BEL,SLO
118,118,2020,AUT,NED,ITA
119,119,2020,SLO,NED,AUS
120,120,2020,NED,SUI,NED
121,121,2020,NED,GBR,FRA
122,122,2020,GBR,NZL,ITA
123,123,2020,GBR,DEN,ROC
124,124,2020,CHN,GER,ROC
125,125,2020,ITA,DEN,AUS
126,126,2020,GBR,-,NED
