,IdComite,AnoEdicao,QtdAtletas,QtdOuro,QtdPrata,QtdBronze,Classificacao
0,USA,2020,615,39,41,33,1
1,CHN,2020,401,38,32,18,2
2,JPN,2020,586,27,14,17,3
3,GBR,2020,366,22,21,22,4
4,ROC,2020,318,20,28,23,5
5,AUS,2020,470,17,7,22,6
6,NED,2020,274,10,12,14,7
7,FRA,2020,377,10,12,11,8
8,GER,2020,400,10,11,16,9
9,ITA,2020,356,10,10,20,10
10,CAN,2020,368,7,6,11,11
11,BRA,2020,291,7,6,8,12
12,NZL,2020,202,7,6,7,13
13,CUB,2020,69,7,3,5,14
14,HUN,2020,155,6,7,7,15
15,KOR,2020,223,6,4,10,16
16,POL,2020,195,4,5,5,17
17,CZE,2020,117,4,4,3,18
18,KEN,2020,78,4,4,2,19
19,NOR,2020,92,4,2,2,20
20,JAM,2020,60,4,1,4,21
21,ESP,2020,324,3,8,6,22
22,SWE,2020,129,3,6,0,23
23,SUI,2020,115,3,4,6,24
24,DEN,2020,103,3,4,4,25
25,CRO,2020,57,3,3,2,26
26,IRI,2020,66,3,2,2,27
27,SRB,2020,83,3,1,5,28
28,BEL,2020,125,3,1,3,29
29,BUL,2020,41,3,1,2,30
30,SLO,2020,51,3,1,1,31
31,UZB,2020,63,3,0,2,32
32,GEO,2020,35,2,5,1,33
33,TPE,2020,67,2,4,6,34
34,TUR,2020,102,2,2,9,35
35,GRE,2020,75,2,1,1,36
36,UGA,2020,24,2,1,1,36
37,ECU,2020,46,2,1,0,38
38,IRL,2020,116,2,0,2,39
39,ISR,2020,85,2,0,2,39
40,QAT,2020,14,2,0,1,41
41,BAH,2020,16,2,0,0,42
42,KOS,2020,10,2,0,0,42
43,UKR,2020,152,1,6,12,44
44,BLR,2020,104,1,3,3,45
45,ROU,2020,99,1,3,0,46
46,VEN,2020,43,1,3,0,46
47,IND,2020,117,1,2,4,48
48,HKG,2020,40,1,2,3,49
49,PHI,2020,18,1,2,1,50
50,SVK,2020,38,1,2,1,50
51,RSA,2020,171,1,2,0,52
52,AUT,2020,72,1,1,5,53
53,EGY,2020,133,1,1,4,54
54,INA,2020,26,1,1,3,55
55,ETH,2020,42,1,1,2,56
56,POR,2020,85,1,1,2,56
57,TUN,2020,57,1,1,0,58
58,EST,2020,33,1,0,1,59
59,FIJ,2020,28,1,0,1,59
60,LAT,2020,29,1,0,1,59
61,THA,2020,39,1,0,1,59
62,BER,2020,2,1,0,0,63
63,MAR,2020,48,1,0,0,63
64,PUR,2020,35,1,0,0,63
65,COL,2020,64,0,4,1,66
66,AZE,2020,41,0,3,4,67
67,DOM,2020,61,0,3,2,68
68,ARM,2020,16,0,2,2,69
69,KGZ,2020,16,0,2,1,70
70,MGL,2020,43,0,1,3,71
71,ARG,2020,180,0,1,2,72
72,SMR,2020,4,0,1,2,72
73,JOR,2020,11,0,1,1,74
74,MAS,2020,29,0,1,1,74
75,NGR,2020,59,0,1,1,74
76,BRN,2020,31,0,1,0,77
77,KSA,2020,32,0,1,0,77
78,LTU,2020,37,0,1,0,77
79,MKD,2020,8,0,1,0,77
80,NAM,2020,11,0,1,0,77
81,TKM,2020,8,0,1,0,77
82,KAZ,2020,92,0,0,8,83
83,MEX,2020,155,0,0,4,84
84,FIN,2020,45,0,0,2,85
85,BOT,2020,13,0,0,1,86
86,BUR,2020,7,0,0,1,86
87,CIV,2020,29,0,0,1,86
88,GHA,2020,14,0,0,1,86
89,GRN,2020,6,0,0,1,86
90,KUW,2020,10,0,0,1,86
91,MDA,2020,19,0,0,1,86
92,SYR,2020,6,0,0,1,86
93,CHI,2020,56,0,0,0,-
94,SUD,2020,5,0,0,0,-
95,SGP,2020,23,0,0,0,-
96,MDV,2020,4,0,0,0,-
97,MLT,2020,6,0,0,0,-
98,SRI,2020,9,0,0,0,-
99,MTN,2020,2,0,0,0,-
100,LBA,2020,4,0,0,0,-
101,NRU,2020,2,0,0,0,-
102,GUY,2020,7,0,0,0,-
103,PLE,2020,4,0,0,0,-
104,CYP,2020,14,0,0,0,-
105,ESA,2020,5,0,0,0,-
106,FSM,2020,3,0,0,0,-
107,ANG,2020,20,0,0,0,-
108,COD,2020,10,0,0,0,-
109,MON,2020,6,0,0,0,-
110,RWA,2020,5,0,0,0,-
111,SAM,2020,8,0,0,0,-
112,BRU,2020,2,0,0,0,-
113,BAN,2020,6,0,0,0,-
114,BEN,2020,7,0,0,0,-
115,TTO,2020,31,0,0,0,-
116,SEN,2020,9,0,0,0,-
117,ALG,2020,41,0,0,0,-
118,TJK,2020,8,0,0,0,-
119,PAK,2020,10,0,0,0,-
120,OMA,2020,5,0,0,0,-
121,IRQ,2020,4,0,0,0,-
122,EOR,2020,26,0,0,0,-
123,YEM,2020,3,0,0,0,-
124,NIG,2020,7,0,0,0,-
125,DJI,2020,4,0,0,0,-
126,SOM,2020,2,0,0,0,-
127,UAE,2020,4,0,0,0,-
128,PAR,2020,8,0,0,0,-
129,CRC,2020,13,0,0,0,-
130,HON,2020,25,0,0,0,-
131,CPV,2020,6,0,0,0,-
132,PER,2020,33,0,0,0,-
133,GUM,2020,5,0,0,0,-
134,MAD,2020,6,0,0,0,-
135,HAI,2020,6,0,0,0,-
136,MNE,2020,35,0,0,0,-
137,AFG,2020,5,0,0,0,-
138,URU,2020,11,0,0,0,-
139,PAN,2020,9,0,0,0,-
140,CMR,2020,11,0,0,0,-
141,TOG,2020,4,0,0,0,-
142,SEY,2020,5,0,0,0,-
143,GUI,2020,5,0,0,0,-
144,ZAM,2020,29,0,0,0,-
145,NCA,2020,8,0,0,0,-
146,SLE,2020,4,0,0,0,-
147,GUA,2020,22,0,0,0,-
148,PNG,2020,7,0,0,0,-
149,GAM,2020,3,0,0,0,-
150,LBN,2020,6,0,0,0,-
151,COK,2020,6,0,0,0,-
152,BAR,2020,7,0,0,0,-
153,LUX,2020,11,0,0,0,-
154,NEP,2020,5,0,0,0,-
155,KIR,2020,3,0,0,0,-
156,MAW,2020,5,0,0,0,-
157,LAO,2020,4,0,0,0,-
158,VIN,2020,2,0,0,0,-
159,ALB,2020,8,0,0,0,-
160,GBS,2020,4,0,0,0,-
161,BOL,2020,5,0,0,0,-
162,BIH,2020,7,0,0,0,-
163,LCA,2020,5,0,0,0,-
164,PLW,2020,3,0,0,0,-
165,MRI,2020,7,0,0,0,-
166,SKN,2020,2,0,0,0,-
167,CAY,2020,5,0,0,0,-
168,ASA,2020,5,0,0,0,-
169,BIZ,2020,3,0,0,0,-
170,VAN,2020,2,0,0,0,-
