,AnoEdicao,IdComite,QtdAtletas,QtdOuro,QtdPrata,QtdBronze,Classificacao
0,1896,USA,14,11,6,2,1
1,1896,GRE,102,10,17,17,2
2,1896,GER,19,7,5,2,3
3,1896,FRA,12,5,4,2,4
4,1896,GBR,10,3,3,3,5
5,1896,HUN,7,2,1,3,6
6,1896,AUT,3,2,1,2,7
7,1896,AUS,1,2,0,1,8
8,1896,DEN,3,1,2,3,9
9,1896,SUI,3,1,2,0,10
10,1896,ITA,1,0,0,0,-
11,1896,SWE,1,0,0,0,-
12,1900,FRA,716,28,40,34,1
13,1900,USA,75,21,16,17,2
14,1900,GBR,104,19,11,12,3
15,1900,BEL,64,6,7,5,4
16,1900,SUI,18,6,2,1,5
17,1900,GER,76,4,3,1,6
18,1900,ITA,23,3,2,0,7
19,1900,AUS,2,3,0,3,8
20,1900,DEN,13,2,3,2,9
21,1900,NED,35,1,2,4,10
22,1900,HUN,18,1,2,2,11
23,1900,CUB,1,1,1,0,12
24,1900,SWE,10,1,0,1,13
25,1900,CAN,4,1,0,1,13
26,1900,NZL,1,1,0,0,15
27,1900,LUX,1,1,0,0,15
28,1900,HAI,3,1,0,0,15
29,1900,ESP,9,1,0,0,15
30,1900,AUT,16,0,3,3,19
31,1900,NOR,7,0,2,3,20
32,1900,IND,1,0,2,0,21
33,1900,BOH,7,0,1,2,22
34,1900,COL,1,0,1,0,23
35,1900,MEX,3,0,0,1,24
36,1900,IRI,1,0,0,0,-
37,1900,GRE,3,0,0,0,-
38,1900,BRA,1,0,0,0,-
39,1900,PER,1,0,0,0,-
40,1900,ROU,1,0,0,0,-
41,1900,RUS,4,0,0,0,-
42,1900,ARG,1,0,0,0,-
43,1904,USA,524,76,79,75,1
44,1904,GER,22,4,5,7,2
45,1904,CAN,56,4,1,1,3
46,1904,CUB,3,4,0,0,4
47,1904,AUT,2,2,1,1,5
48,1904,HUN,4,2,1,1,5
49,1904,NOR,3,2,0,0,7
50,1904,GBR,6,1,1,0,8
51,1904,SUI,3,1,0,2,9
52,1904,GRE,14,1,0,1,10
53,1904,AUS,2,0,3,1,11
54,1904,FRA,1,0,2,0,12
55,1904,ITA,1,0,0,0,-
56,1904,NFL,1,0,0,0,-
57,1904,RSA,8,0,0,0,-
58,1906,FRA,56,15,10,16,1
59,1906,USA,38,12,5,6,2
60,1906,GRE,312,8,14,13,3
61,1906,GBR,48,8,12,5,4
62,1906,ITA,76,7,6,3,5
63,1906,GER,49,4,6,4,6
64,1906,SUI,9,4,3,1,7
65,1906,AUT,31,3,3,3,8
66,1906,DEN,49,3,2,1,9
67,1906,SWE,39,2,5,7,10
68,1906,HUN,35,2,5,3,11
69,1906,BEL,16,2,2,3,12
70,1906,FIN,4,2,1,1,13
71,1906,NOR,32,1,1,0,14
72,1906,CAN,3,1,1,0,14
73,1906,NED,16,0,1,2,16
74,1906,AUS,4,0,0,3,17
75,1906,BOH,13,0,0,2,18
76,1906,CRT,8,0,0,0,-
77,1906,EGY,2,0,0,0,-
78,1906,TUR,1,0,0,0,-
79,1908,GBR,735,56,50,37,1
80,1908,USA,122,22,12,12,2
81,1908,SWE,168,8,6,11,3
82,1908,FRA,208,5,5,9,4
83,1908,GER,82,3,5,5,5
84,1908,HUN,65,3,4,2,6
85,1908,CAN,87,3,3,10,7
86,1908,NOR,69,2,3,3,8
87,1908,ITA,66,2,2,0,9
88,1908,BEL,70,1,5,2,10
89,1908,ANZ,30,1,2,2,11
90,1908,RUS,6,1,2,0,12
91,1908,FIN,62,1,1,3,13
92,1908,RSA,14,1,1,0,14
93,1908,GRE,20,0,3,1,15
94,1908,DEN,78,0,2,3,16
95,1908,NED,113,0,0,2,17
96,1908,BOH,19,0,0,2,17
97,1908,AUT,7,0,0,1,19
98,1908,ARG,1,0,0,0,-
99,1908,ISL,1,0,0,0,-
100,1908,SUI,1,0,0,0,-
101,1912,USA,174,26,18,19,1
102,1912,SWE,444,24,24,17,2
103,1912,GBR,274,10,15,16,3
104,1912,FIN,164,9,8,9,4
105,1912,FRA,119,7,5,3,5
106,1912,GER,185,6,13,7,6
107,1912,ITA,66,5,1,2,7
108,1912,RSA,21,4,2,0,8
