,Nome,NomeUrl,Esporte,Modalidade,Medalha
0,Katrine Aalerud,katrine-aalerud,Cycling Road,Women's Individual Time Trial,#20
1,Katrine Aalerud,katrine-aalerud,Cycling Road,Women's Road Race,#37
2,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's All-Around,#n/a
3,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Floor Exercise,#n/a
4,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Horizontal Bar,#n/a
5,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Parallel Bars,#n/a
6,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Pommel Horse,#n/a
7,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Rings,#n/a
8,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Team,#n/a
9,Nestor Abad,nestor-abad,Artistic Gymnastics,Men's Vault,#n/a
10,Giovanni Abagnale,giovanni-abagnale,Rowing,Men's Pair,#11
11,Tamara Abalde,tamara-abalde,Basketball,Women,#6
12,Luc Abalo,luc-abalo,Handball,Men,G
13,Cesar Abaroa,cesar-abaroa,Rowing,Lightweight Men's Double Sculls,#14
14,Abobakr Abass,abobakr-abass,Swimming,Men's 100m Breaststroke,#n/a
15,Hamideh Abbasali,hamideh-abbasali,Karate,Women's Kumite +61kg,#=7
16,Islam Abbasov,islam-abbasov,Wrestling,Men's Greco-Roman 87kg,#13
17,Lois Abbingh,lois-abbingh,Handball,Women,#5
18,Emily Abbot,emily-abbot,Rhythmic Gymnastics,Group All-Around,#n/a
19,Monica Abbott,monica-abbott,Baseball/Softball,Softball,S
20,Abubaker Haydar Abdalla,abubaker-haydar-abdalla,Athletics,Men's 800m,#n/a
21,Mohamed Abdalrasool,mohamed-abdalrasool,Judo,Men -73 kg,#DNS
22,Radwa Abdel Latif,radwa-abdel-latif,Shooting,10m Air Pistol Mixed Team,#18
23,Radwa Abdel Latif,radwa-abdel-latif,Shooting,10m Air Pistol Women,#40
24,Samy Abdel Razek,samy-abdel-razek,Shooting,10m Air Pistol Men,#31
25,Samy Abdel Razek,samy-abdel-razek,Shooting,10m Air Pistol Mixed Team,#18
26,Abdalla Abdelaziz,abdalla-abdelaziz,Karate,Men's Kumite -75kg,#=9
27,Feryal Abdelaziz,feryal-abdelaziz,Karate,Women's Kumite +61kg,G
28,Diaaeldin Kamal Gouda Abdelmottaleb,diaaeldin-kamal-gouda-abdelmottaleb,Wrestling,Men's Freestyle 125kg,#10
29,Ihab Abdelrahman,ihab-abdelrahman,Athletics,Men's Javelin Throw,#n/a
30,Mohamed Abdelsalam,mohamed-abdelsalam,Football,Men,#8
31,Nour Abdelsalam,nour-abdelsalam,Taekwondo,Women -49kg,#=11
32,Ahmed Abdelwahed,ahmed-abdelwahed,Athletics,Men's 3000m Steeplechase,#14
33,Bashir Abdi,bashir-abdi,Athletics,Men's Marathon,B
34,Abdi Abdirahman,abdi-abdirahman,Athletics,Men's Marathon,#41
35,Farah Ann Abdul Hadi,farah-ann-abdul-hadi,Artistic Gymnastics,Women's All-Around,#n/a
36,Farah Ann Abdul Hadi,farah-ann-abdul-hadi,Artistic Gymnastics,Women's Balance Beam,#n/a
37,Farah Ann Abdul Hadi,farah-ann-abdul-hadi,Artistic Gymnastics,Women's Floor Exercise,#n/a
38,Farah Ann Abdul Hadi,farah-ann-abdul-hadi,Artistic Gymnastics,Women's Uneven Bars,#n/a
39,Farah Ann Abdul Hadi,farah-ann-abdul-hadi,Artistic Gymnastics,Women's Vault,#n/a
40,Kiria Tikanah Abdul Rahman,kiria-tikanah-abdul-rahman,Fencing,Women's Épée Individual,#32
41,Fathimath Nabaaha Abdul Razzaq,fathimath-nabaaha-abdul-razzaq,Badminton,Women's Singles,#=15
42,Saud Abdulhamid,saud-abdulhamid,Football,Men,#15
43,Ammar Riad Abduljabbar,ammar-riad-abduljabbar,Boxing,Men's Heavy (81-91kg),#=5
44,Gulomjon Abdullaev,gulomjon-abdullaev,Wrestling,Men's Freestyle 57kg,#7
45,Muminjon Abdullaev,muminjon-abdullaev,Wrestling,Men's Greco-Roman 130kg,#7
46,Rahmat Erwin Abdullah,rahmat-erwin-abdullah,Weightlifting,Men's 73kg,B
47,Ilfat Abdullin,ilfat-abdullin,Archery,Men's Individual,#=9
