,Id,Nome,Ano
0,0,AALERUD Katrine,1994
1,1,ABAD Nestor,1993
2,2,ABAGNALE Giovanni,1995
3,3,ABALDE Alberto,
4,4,ABALDE Tamara,1989
5,5,ABALO Luc,1984
6,6,ABAROA Cesar,1996
7,7,ABASS Abobakr,1998
8,8,ABBASALI Hamideh,1990
9,9,ABBASOV Islam,1996
10,10,ABBINGH Lois,1992
11,11,ABBOT Emily,1997
12,12,ABBOTT Monica,1985
13,13,ABDALLA Abubaker Haydar,1996
14,14,ABDALLA Maryam,
15,15,ABDALLAH Shahd,
16,16,ABDALRASOOL Mohamed,1993
17,17,ABDEL LATIF Radwa,1989
18,18,ABDEL RAZEK Samy,1980
19,19,ABDELAZIZ Abdalla,1999
20,20,ABDELAZIZ Farah,
21,21,ABDELAZIZ Feryal,1999
22,22,ABDELMAWGOUD Mohamed,
23,23,ABDELMOTTALEB Diaaeldin Kamal Gouda,1993
24,24,ABDELRAHMAN Ihab,1989
25,25,ABDELSALAM Mohamed,1997
26,26,ABDELSALAM Nour,1993
27,27,ABDELWAHED Ahmed,1996
28,28,ABDI Bashir,1989
29,29,ABDIRAHMAN Abdi,1977
30,30,ABDUL HADI Farah Ann,1994
31,31,ABDUL RAHMAN Kiria Tikanah,2000
32,32,ABDUL RAZZAQ Fathimath Nabaaha,1999
33,33,ABDULHAMID Saud,1999
34,34,ABDULJABBAR Ammar Riad,1995
35,35,ABDULLAEV Gulomjon,1998
36,36,ABDULLAEV Muminjon,1989
37,37,ABDULLAH Rahmat Erwin,2000
38,38,ABDULLIN Ilfat,1998
39,39,ABDULREDHA Mohamed,1989
40,40,ABDURAIMOV Elnur,1994
41,41,ABDURAKHIMOV Rasuljon,1996
42,42,ABDURAKHMONOV Bekzod,1990
43,43,ABE Hifumi,1997
44,44,ABE Takatoshi,1991
45,45,ABE Uta,2000
46,46,ABEBE Mekides,2001
47,47,ABEDINI Mojtaba,1984
48,48,ABEL Jennifer,1991
49,49,ABELA Matthew,1999
50,50,ABELVIK ROED Magnus,1997
51,51,ABEYSINGHE Matthew,1996
52,52,ABIAN Pablo,1985
53,53,ABICHA Mohammed,1980
54,54,ABICHT Lorena,1994
55,55,ABIDINE Abidine,1993
56,56,ABLIAZIN Denis,
57,57,ABOUD Hadel,1999
58,58,ABOUELKASSEM Alaaeldin,1990
59,59,ABOUKE Nancy Genzel,2003
60,60,ABRAHAM Tadesse,1982
61,61,ABRAHAMS Rusten John,1997
62,62,ABRAMS Aliyah,1997
63,63,ABRAMS Jasmine,1994
64,64,ABRAMYAN Benik,
65,65,ABREU Diogo,1993
66,66,ABRINES REDONDO Alejandro,
67,67,ABROSIMOV Kirill,1991
