,IdComite,IdAtleta
0,CHN,3
1,FIN,17088
2,FIN,24384
3,FIN,34337
4,NOR,28812
5,ROU,2357
6,NOR,10973
8,NED,27955
9,FRA,14513
10,NED,32763
12,MAR,77
13,EST,24888
15,ESP,26529
21,EGY,33520
22,ESP,3333
23,ITA,11710
24,ESP,16408
25,AZE,27544
26,RUS,22484
28,ARG,27305
30,ESP,33541
31,CUB,15412
32,BLR,1074
34,FRA,20570
37,ARG,21579
38,GRE,11693
39,CMR,16595
40,GRE,11426
41,MEX,9696
42,USA,32889
43,RUS,33572
45,ITA,9500
46,ITA,13476
47,FRA,16044
49,GRE,11392
50,NCA,5475
51,ALG,13659
53,ITA,481
54,BRN,210
55,IRQ,4219
56,EGY,21183
57,IRQ,24747
58,QAT,25200
59,PAK,32423
62,PAK,31721
65,IRI,32621
66,AZE,30266
67,AZE,34853
68,AZE,34722
69,ITA,32215
70,ITA,6264
71,NED,20417
72,ITA,1184
73,IRQ,30662
74,CAN,36145
75,IRL,6635
77,AUS,8162
78,RSA,11350
79,CAN,17640
80,USA,21577
81,CAN,23139
82,USA,24830
83,MAR,18043
84,EGY,24666
87,EGY,21184
88,EGY,24667
90,EGY,26421
91,EGY,29133
94,ERI,1471
95,EGY,13124
96,USA,25885
97,EGY,21160
98,EGY,21185
99,EGY,24579
100,EGY,24580
101,EGY,12718
103,EGY,30970
104,EGY,28814
105,EGY,35868
106,EGY,17324
107,EGY,507
109,EGY,36661
110,EGY,30805
113,EGY,13391
114,EGY,17174
115,EGY,29277
116,EGY,523
117,EGY,31715
120,EGY,508
121,EGY,21186
122,EGY,24607
123,EGY,21181
124,EGY,13410
126,EGY,4020
127,SUD,47
128,EGY,28803
130,EGY,24583
132,ALG,3996
133,EGY,19642
134,EGY,31209
135,EGY,509
136,EGY,13559
137,EGY,28965
142,EGY,192
143,EGY,21370
144,ALG,24957
146,IRI,30542
148,BEL,4209
150,AUS,37181
152,USA,113
156,AUS,1472
159,PLE,12369
160,CMR,37014
161,CAN,17049
162,EGY,28966
163,CMR,10326
164,KAZ,4472
165,BRU,21239
166,KUW,4210
167,MAS,5777
168,EGY,31716
171,BRU,15143
172,SUD,24585
173,BRN,10304
174,IRQ,7227
176,INA,27545
177,IRQ,12275
178,IRQ,12277
179,CAN,30251
180,EGY,24817
181,IRQ,510
182,QAT,499
183,USA,3433
184,MAS,35890
185,AZE,159
186,AZE,3503
187,UZB,25065
188,UZB,25076
190,AZE,25305
192,AZE,19407
193,AZE,38186
194,EGY,188
196,UAE,1841
197,UAE,27073
198,EGY,31842
201,IRQ,35857
202,EGY,24590
204,USA,17000
205,UZB,31922
206,KGZ,29015
208,UZB,4328
209,TJK,25064
210,RUS,346
211,TJK,37569
214,UZB,2535
215,KGZ,3969
216,JPN,31971
218,JPN,37159
219,JPN,37326
220,EGY,32422
221,IRI,24797
223,ESP,32496
224,USA,5087
225,CAN,15200
230,GER,17668
235,ESP,21508
237,CUB,36634
238,GER,3616
240,MEX,16393
241,ETH,11544
242,ETH,33961
243,MAR,24591
244,USA,23771
245,TUR,9459
249,SRI,30357
251,SRI,23202
252,ARM,25377
253,CIV,18716
255,ESP,27280
258,KAZ,30549
259,JPN,24506
260,JPN,34612
261,KEN,5655
262,FRA,5295
264,NGR,9670
265,NGR,4724
266,RUS,13728
267,AZE,5753
268,BRA,8234
269,RUS,8054
279,CMR,34233
280,NGR,5175
281,AUS,23166
283,EGY,79
284,EGY,3740
287,EGY,21125
288,EGY,24695
289,SYR,37631
290,MAR,37636
291,QAT,13408
293,ALG,28627
294,EGY,21371
295,EGY,717
299,EGY,9128
300,MLI,31288
301,EGY,24691
302,CHI,23590
303,SUI,33439
304,SWE,3434
307,RSA,6763
308,BLR,36857
309,RUS,2574
311,RUS,27821
312,GUY,1645
313,GEO,4380
314,POR,3556
316,SUI,1871
317,POR,8429
318,BRA,11778
319,ANG,24891
320,COL,38262
322,COL,19290
323,ESP,855
