,Id,Nome,EsportePai
0,0,Archery,-
1,1,Archery Men's Individual,Archery
2,2,Archery Men's Team,Archery
3,3,Archery Women's Individual,Archery
4,4,Archery Women's Team,Archery
5,5,Athletics,-
6,6,"Athletics Men's 1,500 metres",Athletics
7,7,"Athletics Men's 10,000 metres",Athletics
8,8,Athletics Men's 100 metres,Athletics
9,9,Athletics Men's 110 metres Hurdles,Athletics
10,10,Athletics Men's 20 kilometres Walk,Athletics
11,11,Athletics Men's 200 metres,Athletics
12,12,"Athletics Men's 3,000 metres Steeplechase",Athletics
13,13,Athletics Men's 4 x 100 metres Relay,Athletics
14,14,Athletics Men's 4 x 400 metres Relay,Athletics
15,15,Athletics Men's 400 metres,Athletics
16,16,Athletics Men's 400 metres Hurdles,Athletics
17,17,"Athletics Men's 5,000 metres",Athletics
18,18,Athletics Men's 50 kilometres Walk,Athletics
19,19,Athletics Men's 800 metres,Athletics
20,20,Athletics Men's Decathlon,Athletics
21,21,Athletics Men's Discus Throw,Athletics
22,22,Athletics Men's Hammer Throw,Athletics
23,23,Athletics Men's High Jump,Athletics
24,24,Athletics Men's Javelin Throw,Athletics
25,25,Athletics Men's Long Jump,Athletics
26,26,Athletics Men's Marathon,Athletics
27,27,Athletics Men's Pole Vault,Athletics
28,28,Athletics Men's Shot Put,Athletics
29,29,Athletics Men's Triple Jump,Athletics
30,30,"Athletics Women's 1,500 metres",Athletics
31,31,"Athletics Women's 10,000 metres",Athletics
32,32,Athletics Women's 100 metres,Athletics
33,33,Athletics Women's 100 metres Hurdles,Athletics
34,34,Athletics Women's 20 kilometres Walk,Athletics
35,35,Athletics Women's 200 metres,Athletics
36,36,"Athletics Women's 3,000 metres Steeplechase",Athletics
37,37,Athletics Women's 4 x 100 metres Relay,Athletics
38,38,Athletics Women's 4 x 400 metres Relay,Athletics
39,39,Athletics Women's 400 metres,Athletics
40,40,Athletics Women's 400 metres Hurdles,Athletics
41,41,"Athletics Women's 5,000 metres",Athletics
42,42,Athletics Women's 800 metres,Athletics
43,43,Athletics Women's Discus Throw,Athletics
44,44,Athletics Women's Hammer Throw,Athletics
45,45,Athletics Women's Heptathlon,Athletics
46,46,Athletics Women's High Jump,Athletics
47,47,Athletics Women's Javelin Throw,Athletics
48,48,Athletics Women's Long Jump,Athletics
49,49,Athletics Women's Marathon,Athletics
50,50,Athletics Women's Pole Vault,Athletics
51,51,Athletics Women's Shot Put,Athletics
52,52,Athletics Women's Triple Jump,Athletics
53,53,Badminton,-
54,54,Badminton Men's Doubles,Badminton
55,55,Badminton Men's Singles,Badminton
56,56,Badminton Mixed Doubles,Badminton
57,57,Badminton Women's Doubles,Badminton
58,58,Badminton Women's Singles,Badminton
59,59,Baseball,-
60,60,Baseball Men's Baseball,Baseball
61,61,Basketball,-
62,62,Basketball Men's Basketball,Basketball
63,63,Basketball Women's Basketball,Basketball
64,64,Beach Volleyball,-
65,65,Beach Volleyball Men's Beach Volleyball,Beach Volleyball
66,66,Beach Volleyball Women's Beach Volleyball,Beach Volleyball
67,67,Boxing,-
68,68,Boxing Men's Bantamweight,Boxing
69,69,Boxing Men's Featherweight,Boxing
70,70,Boxing Men's Flyweight,Boxing
71,71,Boxing Men's Heavyweight,Boxing
72,72,Boxing Men's Light-Flyweight,Boxing
73,73,Boxing Men's Light-Heavyweight,Boxing
74,74,Boxing Men's Light-Middleweight,Boxing
75,75,Boxing Men's Light-Welterweight,Boxing
76,76,Boxing Men's Lightweight,Boxing
77,77,Boxing Men's Middleweight,Boxing
78,78,Boxing Men's Super-Heavyweight,Boxing
79,79,Boxing Men's Welterweight,Boxing
80,80,Boxing Women's Flyweight,Boxing
81,81,Boxing Women's Lightweight,Boxing
82,82,Boxing Women's Middleweight,Boxing
83,83,Canoeing,-
84,84,"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing
