,AnoEdicao,IdComite,QtdAtletas,QtdOuro,QtdPrata,QtdBronze,Classificacao
0,2000,USA,586,36,24,31,1
1,2000,RUS,435,32,28,29,2
2,2000,CHN,266,28,16,14,3
3,2000,AUS,617,16,25,17,4
4,2000,GER,422,13,17,26,5
5,2000,FRA,336,13,14,11,6
6,2000,ITA,361,13,8,13,7
7,2000,NED,231,12,9,4,8
8,2000,CUB,229,11,11,7,9
9,2000,GBR,310,11,10,7,10
10,2000,ROU,145,11,6,9,11
11,2000,KOR,279,8,10,10,12
12,2000,HUN,178,8,6,3,13
13,2000,POL,187,6,5,3,14
14,2000,JPN,266,5,8,5,15
15,2000,BUL,91,5,6,2,16
16,2000,GRE,140,4,6,3,17
17,2000,SWE,150,4,5,3,18
18,2000,NOR,93,4,3,3,19
19,2000,ETH,26,4,1,3,20
20,2000,UKR,230,3,10,10,21
21,2000,KAZ,130,3,4,0,22
22,2000,BLR,139,3,3,11,23
23,2000,CAN,294,3,3,8,24
24,2000,ESP,321,3,3,5,25
25,2000,TUR,57,3,0,2,26
26,2000,IRI,33,3,0,1,27
27,2000,CZE,119,2,3,3,28
28,2000,KEN,56,2,3,2,29
29,2000,DEN,97,2,3,1,30
30,2000,FIN,70,2,1,1,31
31,2000,AUT,92,2,1,0,32
32,2000,LTU,61,2,0,3,33
33,2000,BAH,25,2,0,1,34
34,2000,AZE,31,2,0,1,34
35,2000,SLO,74,2,0,0,36
36,2000,SUI,102,1,6,2,37
37,2000,INA,47,1,3,2,38
38,2000,SVK,108,1,3,1,39
39,2000,MEX,78,1,2,3,40
40,2000,NGR,83,1,2,0,41
41,2000,ALG,47,1,1,3,42
42,2000,UZB,70,1,1,2,43
43,2000,SCG,109,1,1,1,44
44,2000,LAT,45,1,1,1,44
45,2000,NZL,147,1,0,3,46
46,2000,THA,52,1,0,2,47
47,2000,EST,33,1,0,2,47
48,2000,CRO,88,1,0,1,49
49,2000,COL,44,1,0,0,50
50,2000,MOZ,4,1,0,0,50
51,2000,CMR,34,1,0,0,50
52,2000,BRA,198,0,6,6,53
53,2000,JAM,48,0,6,3,54
54,2000,RSA,127,0,2,3,55
55,2000,BEL,68,0,2,3,55
56,2000,ARG,143,0,2,2,57
57,2000,MAR,55,0,1,4,58
58,2000,TPE,55,0,1,4,58
59,2000,PRK,31,0,1,3,60
60,2000,MDA,34,0,1,1,61
61,2000,KSA,18,0,1,1,61
62,2000,TTO,19,0,1,1,61
63,2000,SRI,18,0,1,0,64
64,2000,VIE,7,0,1,0,64
65,2000,URU,15,0,1,0,64
66,2000,IRL,64,0,1,0,64
67,2000,GEO,36,0,0,6,68
68,2000,POR,61,0,0,2,69
69,2000,CRC,7,0,0,2,69
70,2000,IND,65,0,0,1,71
71,2000,KUW,29,0,0,1,71
72,2000,ISL,18,0,0,1,71
73,2000,QAT,17,0,0,1,71
74,2000,ISR,39,0,0,1,71
75,2000,MKD,10,0,0,1,71
76,2000,KGZ,48,0,0,1,71
77,2000,CHI,50,0,0,1,71
78,2000,ARM,25,0,0,1,71
79,2000,BAR,18,0,0,1,71
80,2000,RWA,5,0,0,0,-
81,2000,NIG,4,0,0,0,-
82,2000,PAR,5,0,0,0,-
83,2000,TUN,47,0,0,0,-
84,2000,PAN,6,0,0,0,-
85,2000,PAK,27,0,0,0,-
86,2000,OMA,6,0,0,0,-
87,2000,UAE,4,0,0,0,-
88,2000,NRU,2,0,0,0,-
89,2000,UGA,13,0,0,0,-
90,2000,VAN,3,0,0,0,-
91,2000,TKM,8,0,0,0,-
92,2000,VEN,50,0,0,0,-
93,2000,NEP,5,0,0,0,-
94,2000,VIN,4,0,0,0,-
95,2000,NCA,6,0,0,0,-
96,2000,YEM,2,0,0,0,-
97,2000,NAM,11,0,0,0,-
98,2000,ZAM,8,0,0,0,-
99,2000,MYA,7,0,0,0,-
100,2000,MTN,2,0,0,0,-
101,2000,TOG,3,0,0,0,-
102,2000,TJK,4,0,0,0,-
